排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
89,券商金股,BK1743,995.69,2.39,0.24,9163786240000,0.75,11,15,招商轮船,8.23
90,新材料,BK0523,39086.95,91.53,0.23,7122177024000,1.73,167,212,亿利达,9.98
91,高带宽内存,BK1152,2600.79,5.91,0.23,2232782784000,2.78,12,16,中巨芯-U,3.78
92,钙钛矿电池,BK1094,973.46,2.19,0.23,837329392000,1.42,23,20,科恒股份,3.78
93,高压快充,BK1144,1461.06,3.28,0.23,794223168000,1.53,23,35,星云股份,7.33
94,3D打印,BK0619,8405.4,18.96,0.23,1425948496000,1.8,35,38,南风股份,14.35
95,培育钻石,BK1023,2772.52,6.2,0.22,274627360000,1.98,10,9,中国黄金,3.77
96,混合现实,BK1141,1840.95,4.09,0.22,1408598176000,1.8,11,21,可川科技,10.01
97,激光雷达,BK1002,2549.51,5.63,0.22,978391696000,1.59,17,24,东田微,12.64
98,大盘价值,BK1666,953.47,2.08,0.22,31170163968000,0.23,46,52,招商轮船,8.23
99,光刻机,BK0884,4967.74,10.82,0.22,1523157744000,2.47,17,22,旭光电子,10.0
100,工业母机,BK1004,2153.37,4.46,0.21,1860061824000,1.12,32,50,宇环数控,10.01
101,ST股,BK0511,6234.96,13.33,0.21,737596688000,1.01,89,97,ST云网,8.72
102,半导体概念,BK0917,2809.46,5.84,0.21,22505274624000,1.67,243,271,士兰微,9.99
103,军民融合,BK0808,1830.74,3.4,0.19,3084009840000,1.04,78,91,杭齿前进,10.02
104,卫星互联网,BK0921,1841.92,3.28,0.18,2702557856000,0.73,43,51,国瓷材料,7.15
105,地热能,BK0622,5857.41,10.81,0.18,119004570000,1.38,2,6,冰轮环境,4.54
106,电子身份证,BK1075,1033.96,1.9,0.18,267855627000,2.2,15,22,楚天龙,9.97
107,上证180_,BK0612,1722.32,2.89,0.17,49664884736000,0.23,81,90,招商轮船,8.34
108,新能源车,BK0900,2356.52,4.02,0.17,15225706240000,1.18,285,391,杭齿前进,10.02
109,小米汽车,BK1155,1554.58,2.66,0.17,4576470016000,1.04,44,61,飞龙股份,10.0
110,OLED,BK0840,4198.3,6.68,0.16,2719016144000,1.66,39,54,士兰微,9.99
111,荣耀概念,BK1177,2219.81,3.51,0.16,5193976832000,2.13,22,32,东田微,12.65
112,生物识别,BK0970,1642.38,2.56,0.16,1114522928000,1.2,16,34,共达电声,9.99
113,深证100R,BK0743,1321.42,2.13,0.16,17696950784000,0.74,48,48,歌尔股份,5.68
114,光伏概念,BK0588,3907.18,6.15,0.16,9625495552000,0.86,168,251,福华尚纬,10.06
