板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,002566,益盛药业,2011-03-18,"330,951,600","232,102,602",C 制造业
主板,002567,唐人神,2011-03-25,"1,433,051,393","1,431,666,421",C 制造业
主板,002568,百润股份,2011-03-25,"1,041,623,701","756,326,356",C 制造业
主板,002569,*ST步森,2011-04-12,"144,010,000","136,252,350",C 制造业
主板,002570,贝因美,2011-04-12,"1,080,043,333","1,079,999,833",C 制造业
主板,002571,德力股份,2011-04-12,"391,950,700","298,306,188",C 制造业
主板,002572,索菲亚,2011-04-12,"963,047,164","729,247,004",C 制造业
主板,002573,清新环境,2011-04-22,"1,415,267,079","1,412,965,793",N 公共环保
主板,002574,明牌珠宝,2011-04-22,"528,000,000","528,000,000",C 制造业
主板,002575,群兴玩具,2011-04-22,"616,500,000","584,325,500",F 批发零售
主板,002576,通达动力,2011-04-28,"165,100,000","162,027,571",C 制造业
主板,002577,雷柏科技,2011-04-28,"280,688,000","280,673,000",C 制造业
主板,002578,闽发铝业,2011-04-28,"938,630,183","861,162,561",C 制造业
主板,002579,中京电子,2011-05-06,"612,618,620","583,438,257",C 制造业
主板,002580,圣阳股份,2011-05-06,"453,868,993","452,338,125",C 制造业
主板,002581,*ST未名,2011-05-20,"659,735,586","400,791,161",C 制造业
主板,002582,好想你,2011-05-20,"447,707,891","344,174,203",C 制造业
主板,002583,海能达,2011-05-27,"1,818,619,381","1,283,137,692",C 制造业
主板,002584,西陇科学,2011-06-02,"585,216,422","481,139,338",C 制造业
主板,002585,双星新材,2011-06-02,"1,141,322,612","886,591,788",C 制造业
主板,002586,ST围海,2011-06-02,"1,144,223,714","1,087,267,403",E 建筑业
主板,002587,奥拓电子,2011-06-10,"654,504,156","532,712,717",C 制造业
主板,002588,史丹利,2011-06-10,"1,151,891,980","858,636,570",C 制造业
主板,002589,瑞康医药,2011-06-10,"1,504,710,471","1,365,591,548",F 批发零售
主板,002590,万安科技,2011-06-10,"519,052,477","494,350,592",C 制造业
主板,002591,恒大高新,2011-06-21,"300,199,484","223,512,462",C 制造业
主板,002592,ST八菱,2011-11-11,"284,026,157","262,840,977",C 制造业
主板,002593,日上集团,2011-06-28,"803,858,029","560,504,329",C 制造业
主板,002594,比亚迪,2011-06-30,"5,433,797,565","3,487,068,722",C 制造业
主板,002595,豪迈科技,2011-06-28,"1,160,000,000","1,152,118,323",C 制造业
主板,002596,海南瑞泽,2011-07-07,"1,147,580,518","1,146,570,549",C 制造业
主板,002597,金禾实业,2011-07-07,"568,319,878","565,976,294",C 制造业
主板,002598,ST章鼓,2011-07-07,"312,052,978","286,530,024",C 制造业
主板,002599,盛通股份,2011-07-15,"540,614,787","413,371,086",C 制造业
主板,002600,领益智造,2011-07-15,"7,308,489,549","7,199,995,667",C 制造业
主板,002601,龙佰集团,2011-07-15,"2,384,248,056","1,979,335,637",C 制造业
主板,002602,世纪华通,2011-07-28,"7,370,682,322","6,796,829,127",I 信息技术
主板,002603,以岭药业,2011-07-28,"1,670,705,376","1,376,272,687",C 制造业
主板,002605,姚记科技,2011-08-05,"417,759,762","338,424,959",I 信息技术
