date,open,close,high,low,volume,amount,rsi14,macd,macd_signal,macd_hist,ma5,ma10,ma20,bb_upper,bb_middle,bb_lower,atr14,vol_ma20,ma60
2026-04-23,2.037,1.954,2.04,1.946,3510064,689209859.0,64.85260770975054,0.0112664297115916,-0.0048146371006101,0.0160810668122018,2.016,1.9886,1.927,2.076562168028097,1.927,1.7774378319719029,0.05,1479801.15,2.0160833333333334
2026-04-24,1.942,1.956,1.969,1.928,1769158,343757693.0,67.76470588235293,0.0088196826335726,-0.0020877731537736,0.0109074557873462,2.0072,1.9896,1.9324,2.07769012716848,1.9324,1.78710987283152,0.0506428571428572,1511352.6,2.0148166666666665
2026-04-27,1.95,1.952,1.966,1.942,931007,181960903.0,63.84615384615382,0.006483118026765,-0.0003735949176658,0.0068567129444309,1.9874000000000005,1.988,1.9357,2.079543628547412,1.9357,1.7918563714525886,0.0490714285714286,1481731.0,2.0130833333333333
2026-04-28,1.952,1.916,1.952,1.907,1673066,321421008.0,49.13793103448276,0.0017067996820951,4.24840022863377e-05,0.0016643156798088,1.9634,1.9822,1.9377,2.079140856153641,1.9377,1.7962591438463584,0.0465714285714286,1496370.2,2.0098
2026-04-29,1.912,2.028,2.03,1.911,2696471,538021764.0,60.40268456375838,0.0068796921507201,0.0014099256319731,0.005469766518747,1.9612000000000005,1.9913,1.9468000000000003,2.0868114281049994,1.9468000000000003,1.8067885718950008,0.0512142857142857,1551068.55,2.0083
2026-04-30,2.015,2.046,2.047,2.01,2254731,457693318.0,61.013215859030815,0.012290024516159,0.0035859454088102,0.0087040791073487,1.9796,1.9978,1.95565,2.097321636651732,1.95565,1.813978363348269,0.0514285714285715,1625876.4,2.00765
2026-05-06,2.049,2.103,2.104,2.036,1575279,327013968.0,63.80368098159509,0.0209358401926007,0.0070559243655683,0.0138799158270323,2.009,2.0081,1.96965,2.111467191445448,1.96965,1.8278328085545523,0.054,1655367.1,2.00705
2026-05-07,2.11,2.106,2.115,2.081,1489260,312244204.0,63.58024691358022,0.0277103585693845,0.0111868112063316,0.0165235473630529,2.0398,2.0136,1.9847,2.1164766851034087,1.9847,1.852923314896591,0.0534285714285715,1692142.95,2.0063166666666667
2026-05-08,2.095,2.105,2.109,2.075,1752262,366909411.0,68.66666666666664,0.0326224700204895,0.0154739429691632,0.0171485270513263,2.0776,2.0205,1.9977500000000004,2.1223578057874333,1.9977500000000004,1.873142194212568,0.0514285714285715,1739609.4,2.0077333333333334
2026-05-11,2.111,2.162,2.163,2.109,3530479,756278377.0,69.54643628509716,0.0406462328950536,0.0205084009543412,0.0201378319407123,2.1044,2.0328,2.00975,2.1490064843052314,2.00975,1.8704935156947684,0.0520714285714286,1823375.6,2.0118
